[build_corpus] 73 papers, use_llm=True
  GES16_HilbertCurve: 2 sections, 1 paragraphs, 5 MSUs
  GKA11_Identifying_elemental_genomic_track_types_and_representing_them_uniformly: 4 sections, 3 paragraphs, 18 MSUs
  HBB02_The_Ensembl_genome_database_project: 2 sections, 1 paragraphs, 10 MSUs
  HBSD17_SynMap2_and_SynMap3D: 4 sections, 3 paragraphs, 14 MSUs
  HJ10_MochiView: 4 sections, 3 paragraphs, 11 MSUs
  HJBN12_GenomeRing: 4 sections, 3 paragraphs, 17 MSUs
  HSD14_ReadXplorer--visualization_and_analysis_of_mapped_sequences: 4 sections, 3 paragraphs, 12 MSUs
  KAL18_HiGlass: 2 sections, 1 paragraphs, 8 MSUs
  KAR07_Gepard: 3 sections, 2 paragraphs, 6 MSUs
  KNS14_Sequence_bundles: 5 sections, 4 paragraphs, 19 MSUs
  KWS15_Quantitative_visualization_of_alternative_exon_expression_from_RNA-seq_data: 4 sections, 3 paragraphs, 9 MSUs
  KWZ12_ABrowse_-_a_customizable_next-generation_genome_browser_framework: 4 sections, 3 paragraphs, 22 MSUs
  KvEB04_Visualization_for_genomics: 3 sections, 2 paragraphs, 9 MSUs
  LB11_GenPlay_a_multipurpose_genome_analyzer_and_browser: 4 sections, 3 paragraphs, 16 MSUs
  LBK18_HiPiler: 2 sections, 1 paragraphs, 13 MSUs
  LJASH16_An_interactive_environment_for_agile_analysis_and_visualization_of_ChIP-sequenci: 2 sections, 1 paragraphs, 9 MSUs
  LLL08_SynteBaseSynteView: 4 sections, 3 paragraphs, 18 MSUs
  LSWQ17_Deep_Motif_Dashboard: 2 sections, 1 paragraphs, 10 MSUs
  Lar14_AliView: 4 sections, 3 paragraphs, 9 MSUs
  MBS00_VISTA: 3 sections, 2 paragraphs, 6 MSUs
  MMP09_MizBee: 2 sections, 1 paragraphs, 12 MSUs
  MVS10_Using_the_Generic_Synteny_Browser_GBrowse_syn: 2 sections, 1 paragraphs, 9 MSUs
  MXR17_HUGIn: 5 sections, 4 paragraphs, 12 MSUs
  Nusrat2019_GenomicVisSurvey: 43 sections, 164 paragraphs, 1011 MSUs
  OCQ13_pLogo: 2 sections, 1 paragraphs, 4 MSUs
  OKSF13_MGcV: 4 sections, 3 paragraphs, 16 MSUs
  OvHSF15_CiVi: 4 sections, 3 paragraphs, 10 MSUs
  PSESVD10_Interactive_microbial_genome_visualization_with_GView: 3 sections, 2 paragraphs, 9 MSUs
  RCK12_SpliceSeq: 4 sections, 3 paragraphs, 12 MSUs
  RRG16_deepTools2: 2 sections, 1 paragraphs, 8 MSUs
  RTD18_Juiceboxjs_Provides_a_Cloud-Based_Visualization_System_for_Hi-C_Data: 2 sections, 1 paragraphs, 9 MSUs
  RTRBH12_SpliceGrapher: 2 sections, 1 paragraphs, 5 MSUs
  SAB16_Vials: 2 sections, 1 paragraphs, 12 MSUs
  SM07_Cinteny: 4 sections, 3 paragraphs, 21 MSUs
  SS90_Sequence_logos: 2 sections, 1 paragraphs, 9 MSUs
  STK16_ALVIS: 2 sections, 1 paragraphs, 13 MSUs
  SW05_Circular_genome_visualization_and_exploration_using_CGView: 3 sections, 2 paragraphs, 8 MSUs
  TRM13_Integrative_Genomics_Viewer_IGV: 2 sections, 1 paragraphs, 11 MSUs
  VIR06_Two_Sample_Logo: 2 sections, 1 paragraphs, 8 MSUs
  WBN18_Galaxy_HiCExplorer: 2 sections, 1 paragraphs, 7 MSUs
  WKP17_WebMeV: 2 sections, 1 paragraphs, 11 MSUs
  WNM14_SplicePlot: 3 sections, 2 paragraphs, 12 MSUs
  WPM09_Jalview_Version_2--a_multiple_sequence_alignment_editor_and_analysis_workbench: 3 sections, 2 paragraphs, 10 MSUs
  WSZ18_The_3D_Genome_Browser: 2 sections, 1 paragraphs, 6 MSUs
  YCL12_ggbio: 2 sections, 1 paragraphs, 10 MSUs
  YWR16_MSAViewer: 3 sections, 2 paragraphs, 10 MSUs
[aggregate] 1770 MSUs / 73 papers -> data/survey_genomics/stages/02_msu/formdatabase.json
